,Iteration,Test,Train
323,324,0.8596,0.8596
324,325,0.8602,0.8602
325,326,0.8604,0.8604
326,327,0.8608,0.8608
327,328,0.8606,0.8606
328,329,0.8604,0.8604
329,330,0.8606,0.8606
330,331,0.8602,0.8602
331,332,0.8602,0.8602
332,333,0.86,0.86
333,334,0.8598,0.8598
334,335,0.86,0.86
335,336,0.8602,0.8602
336,337,0.8596,0.8596
337,338,0.8594,0.8594
338,339,0.859,0.859
339,340,0.8596,0.8596
340,341,0.8592,0.8592
341,342,0.859,0.859
342,343,0.8588,0.8588
343,344,0.859,0.859
344,345,0.8592,0.8592
345,346,0.8598,0.8598
346,347,0.8596,0.8596
347,348,0.8602,0.8602
348,349,0.8598,0.8598
349,350,0.8596,0.8596
350,351,0.8594,0.8594
351,352,0.8604,0.8604
352,353,0.8606,0.8606
353,354,0.861,0.861
354,355,0.8604,0.8604
355,356,0.861,0.861
356,357,0.8604,0.8604
357,358,0.8614,0.8614
358,359,0.861,0.861
359,360,0.8608,0.8608
360,361,0.8602,0.8602
361,362,0.86,0.86
362,363,0.8602,0.8602
363,364,0.8604,0.8604
364,365,0.86,0.86
365,366,0.8598,0.8598
366,367,0.8602,0.8602
367,368,0.861,0.861
368,369,0.8604,0.8604
369,370,0.861,0.861
370,371,0.8608,0.8608
371,372,0.8616,0.8616
372,373,0.8612,0.8612
373,374,0.8612,0.8612
374,375,0.8614,0.8614
375,376,0.8616,0.8616
376,377,0.862,0.862
377,378,0.862,0.862
378,379,0.8616,0.8616
379,380,0.8614,0.8614
380,381,0.8614,0.8614
381,382,0.8624,0.8624
382,383,0.8612,0.8612
383,384,0.8616,0.8616
384,385,0.8612,0.8612
385,386,0.8614,0.8614
386,387,0.8614,0.8614
387,388,0.8614,0.8614
388,389,0.8612,0.8612
389,390,0.8616,0.8616
390,391,0.861,0.861
391,392,0.8616,0.8616
392,393,0.861,0.861
393,394,0.8606,0.8606
394,395,0.8604,0.8604
395,396,0.8608,0.8608
396,397,0.8606,0.8606
397,398,0.8606,0.8606
398,399,0.8612,0.8612
399,400,0.8608,0.8608
400,401,0.8608,0.8608
401,402,0.8606,0.8606
402,403,0.8606,0.8606
403,404,0.8608,0.8608
404,405,0.861,0.861
405,406,0.8608,0.8608
406,407,0.8606,0.8606
407,408,0.861,0.861
408,409,0.8608,0.8608
409,410,0.861,0.861
410,411,0.8606,0.8606
411,412,0.8604,0.8604
412,413,0.8604,0.8604
413,414,0.8608,0.8608
414,415,0.8602,0.8602
415,416,0.8608,0.8608
416,417,0.8602,0.8602
417,418,0.8606,0.8606
418,419,0.8598,0.8598
419,420,0.8602,0.8602
420,421,0.86,0.86
421,422,0.8608,0.8608
422,423,0.8596,0.8596
423,424,0.86,0.86
424,425,0.859,0.859
425,426,0.8592,0.8592
426,427,0.8592,0.8592
427,428,0.8594,0.8594
428,429,0.8592,0.8592
429,430,0.8592,0.8592
430,431,0.859,0.859
431,432,0.8592,0.8592
432,433,0.859,0.859
433,434,0.859,0.859
434,435,0.8592,0.8592
435,436,0.86,0.86
436,437,0.8596,0.8596
437,438,0.8602,0.8602
438,439,0.8596,0.8596
439,440,0.86,0.86
440,441,0.8602,0.8602
441,442,0.8604,0.8604
442,443,0.8596,0.8596
443,444,0.8598,0.8598
444,445,0.8592,0.8592
445,446,0.8594,0.8594
446,447,0.8596,0.8596
447,448,0.8604,0.8604
448,449,0.8596,0.8596
449,450,0.8606,0.8606
450,451,0.8608,0.8608
451,452,0.8606,0.8606
452,453,0.8604,0.8604
453,454,0.8602,0.8602
454,455,0.8606,0.8606
455,456,0.86,0.86
456,457,0.8596,0.8596
457,458,0.8596,0.8596
458,459,0.8602,0.8602
459,460,0.86,0.86
460,461,0.8602,0.8602
461,462,0.8604,0.8604
462,463,0.8598,0.8598
463,464,0.8602,0.8602
464,465,0.86,0.86
465,466,0.8604,0.8604
466,467,0.86,0.86
467,468,0.8602,0.8602
468,469,0.8602,0.8602
469,470,0.8606,0.8606
470,471,0.8606,0.8606
471,472,0.8602,0.8602
472,473,0.8604,0.8604
473,474,0.8602,0.8602
474,475,0.8596,0.8596
475,476,0.8604,0.8604
476,477,0.8596,0.8596
477,478,0.8604,0.8604
478,479,0.86,0.86
479,480,0.8604,0.8604
480,481,0.86,0.86
481,482,0.8598,0.8598
482,483,0.8596,0.8596
483,484,0.8596,0.8596
484,485,0.86,0.86
485,486,0.86,0.86
486,487,0.86,0.86
487,488,0.8594,0.8594
488,489,0.8594,0.8594
489,490,0.8594,0.8594
490,491,0.8598,0.8598
491,492,0.8598,0.8598
492,493,0.8598,0.8598
493,494,0.8594,0.8594
494,495,0.8596,0.8596
495,496,0.8596,0.8596
496,497,0.8592,0.8592
497,498,0.8598,0.8598
498,499,0.8592,0.8592
499,500,0.8598,0.8598
