,Iteration,AdaBoost Test Accuracy,AdaBoost Train Accuracy,Stump Test Accuracy,Stump Train Accuracy
219,220,0.8924,0.897,45.32,43.84
220,221,0.8924,0.8968,22.82,22.5
221,222,0.8924,0.8972,87.52,88.08
222,223,0.8924,0.8968,13.84,13.62
223,224,0.8926,0.897,66.62,65.8
224,225,0.8928,0.897,13.84,13.62
225,226,0.8926,0.8968,60.26,62.02
226,227,0.8926,0.897,78.96,79.06
227,228,0.8924,0.897,15.28,15.12
228,229,0.8926,0.897,87.52,88.08
229,230,0.8924,0.897,13.84,13.62
230,231,0.8924,0.8968,80.88,81.6
231,232,0.8924,0.8968,13.84,13.62
232,233,0.8924,0.8968,48.62,49.22
233,234,0.8926,0.8968,14.54,13.94
234,235,0.8924,0.897,64.1,65.38
235,236,0.8924,0.897,52.08,51.16
236,237,0.8926,0.8972,87.52,88.08
237,238,0.8924,0.897,13.84,13.62
238,239,0.8926,0.897,45.02,44.92
239,240,0.8926,0.897,87.52,88.08
240,241,0.8926,0.897,13.84,13.62
241,242,0.8922,0.897,82.84,83.22
242,243,0.8924,0.8968,48.42,50.96
243,244,0.8924,0.8968,15.36,14.98
244,245,0.8924,0.8968,87.74,88.24
245,246,0.8924,0.897,31.86,31.34
246,247,0.8924,0.897,13.84,13.62
247,248,0.8924,0.8968,57.62,59.34
248,249,0.8924,0.897,87.52,88.08
249,250,0.8924,0.8968,13.84,13.62
250,251,0.8924,0.897,56.56,56.38
251,252,0.8924,0.897,13.84,13.62
252,253,0.8924,0.897,87.52,88.08
253,254,0.8924,0.897,13.84,13.62
254,255,0.8924,0.8968,26.16,26.28
255,256,0.8924,0.8972,87.52,88.08
256,257,0.8924,0.8968,40.9,41.68
257,258,0.8926,0.897,66.54,65.62
258,259,0.8926,0.8968,38.56,38.02
259,260,0.8926,0.897,88.34,89.12
260,261,0.8924,0.897,30.14,29.26
261,262,0.8926,0.897,22.82,22.5
262,263,0.8924,0.897,87.52,88.08
263,264,0.8926,0.897,13.84,13.62
264,265,0.8924,0.897,87.52,88.08
265,266,0.8926,0.897,13.84,13.62
266,267,0.8926,0.897,49.82,50.04
267,268,0.8926,0.897,64.1,65.38
268,269,0.8926,0.897,33.2,32.26
269,270,0.8926,0.897,80.06,80.56
270,271,0.8926,0.897,13.84,13.62
271,272,0.8926,0.897,22.0,21.46
272,273,0.8926,0.897,82.84,83.22
273,274,0.8926,0.897,28.02,27.94
274,275,0.8926,0.897,17.06,17.12
275,276,0.8926,0.897,87.52,88.08
276,277,0.8926,0.897,13.84,13.62
277,278,0.8926,0.897,27.52,27.42
278,279,0.8926,0.897,87.72,88.12
279,280,0.8926,0.897,59.42,58.9
280,281,0.8926,0.897,80.88,81.6
281,282,0.8926,0.897,22.82,22.5
282,283,0.8926,0.897,87.52,88.08
283,284,0.8926,0.897,13.84,13.62
284,285,0.8926,0.897,26.16,26.28
285,286,0.8926,0.897,78.96,79.06
286,287,0.8926,0.897,15.28,15.12
287,288,0.8926,0.897,87.52,88.08
288,289,0.8926,0.897,13.84,13.62
289,290,0.8926,0.897,87.52,88.08
290,291,0.8926,0.897,13.84,13.62
291,292,0.8926,0.897,75.82,75.42
292,293,0.8926,0.897,15.36,14.98
293,294,0.8926,0.897,87.52,88.08
294,295,0.8926,0.897,13.84,13.62
295,296,0.8926,0.897,63.5,63.38
296,297,0.8926,0.897,24.56,24.82
297,298,0.8926,0.897,82.84,83.22
298,299,0.8926,0.897,26.7,27.26
299,300,0.8926,0.897,28.32,27.62
300,301,0.8926,0.897,87.52,88.08
301,302,0.8926,0.897,13.84,13.62
302,303,0.8926,0.897,40.72,41.92
303,304,0.8926,0.897,70.54,70.8
304,305,0.8926,0.897,55.48,54.18
305,306,0.8926,0.897,13.84,13.62
306,307,0.8926,0.897,26.16,26.28
307,308,0.8926,0.897,85.74,86.08
308,309,0.8926,0.897,42.68,43.68
309,310,0.8926,0.897,14.54,13.94
310,311,0.8926,0.897,87.52,88.08
311,312,0.8926,0.897,13.84,13.62
312,313,0.8926,0.897,47.86,48.36
313,314,0.8926,0.897,80.88,81.6
314,315,0.8926,0.897,74.54,74.46
315,316,0.8926,0.897,13.84,13.62
316,317,0.8926,0.897,84.92,85.5
317,318,0.8926,0.897,26.4,25.64
318,319,0.8926,0.897,22.0,21.46
319,320,0.8926,0.897,76.4,77.56
320,321,0.8926,0.897,38.86,38.26
321,322,0.8926,0.897,87.52,88.08
322,323,0.8926,0.897,13.84,13.62
323,324,0.8926,0.897,82.84,83.22
324,325,0.8926,0.897,15.28,15.12
325,326,0.8926,0.897,87.72,88.12
326,327,0.8926,0.897,15.36,14.98
327,328,0.8926,0.897,64.1,65.38
328,329,0.8926,0.897,49.78,49.94
329,330,0.8926,0.897,45.02,44.92
330,331,0.8926,0.897,87.52,88.08
331,332,0.8926,0.897,13.84,13.62
332,333,0.8926,0.897,87.52,88.08
333,334,0.8926,0.897,13.84,13.62
334,335,0.8926,0.897,53.02,53.26
335,336,0.8926,0.897,87.74,88.24
336,337,0.8926,0.897,13.84,13.62
337,338,0.8926,0.897,53.78,53.72
338,339,0.8926,0.897,38.56,38.02
339,340,0.8926,0.897,87.52,88.08
340,341,0.8926,0.897,26.16,26.28
341,342,0.8926,0.8972,78.44,78.32
342,343,0.8926,0.897,20.66,20.76
343,344,0.8926,0.897,80.88,81.6
344,345,0.8926,0.897,13.84,13.62
345,346,0.8926,0.897,22.82,22.5
346,347,0.8926,0.897,48.42,50.96
347,348,0.8926,0.897,82.84,83.22
348,349,0.8926,0.897,16.1,16.1
349,350,0.8926,0.897,50.14,49.68
350,351,0.8926,0.897,87.52,88.08
351,352,0.8926,0.897,13.84,13.62
352,353,0.8926,0.897,82.14,82.44
353,354,0.8926,0.897,15.36,14.98
354,355,0.8926,0.897,75.64,75.56
355,356,0.8924,0.897,53.06,52.32
356,357,0.8926,0.897,64.2,64.46
357,358,0.8924,0.897,40.72,41.92
358,359,0.8924,0.897,40.78,39.9
359,360,0.8924,0.897,87.52,88.08
360,361,0.8924,0.897,22.82,22.5
361,362,0.8924,0.897,64.1,65.38
362,363,0.8924,0.897,73.62,74.5
363,364,0.8924,0.8972,78.96,79.06
364,365,0.8924,0.897,15.28,15.12
365,366,0.8924,0.897,59.42,58.9
366,367,0.8924,0.897,82.84,83.22
367,368,0.8924,0.897,63.84,63.74
368,369,0.8924,0.8972,38.98,37.64
369,370,0.8924,0.897,24.56,24.82
370,371,0.8924,0.8972,87.52,88.08
371,372,0.8924,0.897,13.84,13.62
372,373,0.8924,0.8972,80.06,80.56
373,374,0.8924,0.897,13.84,13.62
374,375,0.8924,0.8972,22.0,21.46
375,376,0.8924,0.8972,68.02,67.94
376,377,0.8924,0.8972,87.52,88.08
377,378,0.8924,0.8972,13.84,13.62
378,379,0.8924,0.8972,61.04,62.9
379,380,0.8924,0.897,80.88,81.6
380,381,0.8924,0.897,36.54,36.66
381,382,0.8924,0.897,14.54,13.94
382,383,0.8924,0.8972,87.52,88.08
383,384,0.8924,0.8972,26.58,25.72
384,385,0.8924,0.8972,13.84,13.62
385,386,0.8924,0.8972,77.8,78.02
386,387,0.8924,0.8972,40.18,39.76
387,388,0.8924,0.8972,13.84,13.62
388,389,0.8924,0.897,38.56,38.02
389,390,0.8924,0.8972,78.44,78.32
390,391,0.8924,0.8972,20.66,20.76
391,392,0.8924,0.8972,13.84,13.62
392,393,0.8924,0.8972,87.52,88.08
393,394,0.8924,0.8972,13.84,13.62
394,395,0.8924,0.8972,84.92,85.1
395,396,0.8924,0.8972,30.08,31.2
396,397,0.8924,0.8972,69.94,69.34
397,398,0.8924,0.897,22.82,22.5
398,399,0.8924,0.8972,87.52,88.08
399,400,0.8924,0.8972,19.84,19.78
400,401,0.8924,0.8972,26.16,26.28
401,402,0.8924,0.8972,78.96,79.06
402,403,0.8924,0.8972,15.28,15.12
403,404,0.8924,0.8972,63.08,62.76
404,405,0.8924,0.8972,42.34,42.46
405,406,0.8924,0.8972,55.78,55.54
406,407,0.8924,0.8972,13.84,13.62
407,408,0.8924,0.8972,87.52,88.08
408,409,0.8924,0.8972,37.56,37.92
409,410,0.8924,0.8972,40.78,40.7
410,411,0.8924,0.8972,56.9,57.24
411,412,0.8924,0.8972,50.5,50.76
412,413,0.8924,0.8972,49.96,49.84
413,414,0.8924,0.8972,50.5,50.76
414,415,0.8924,0.8972,49.96,49.84
415,416,0.8924,0.8972,13.84,13.62
416,417,0.8924,0.8972,87.52,88.08
417,418,0.8924,0.8972,32.3,32.86
418,419,0.8924,0.8972,46.32,45.0
419,420,0.8924,0.8972,54.14,55.6
420,421,0.8924,0.8972,46.32,45.0
421,422,0.8924,0.8972,54.14,55.6
422,423,0.8924,0.8972,46.32,45.0
423,424,0.8924,0.8972,13.84,13.62
424,425,0.8924,0.8972,87.52,88.08
425,426,0.8924,0.8972,34.78,35.26
426,427,0.8924,0.8972,15.36,14.98
427,428,0.8924,0.8972,87.52,88.08
428,429,0.8924,0.8972,32.44,32.84
429,430,0.8924,0.8972,38.56,38.02
430,431,0.8924,0.8972,87.52,88.08
431,432,0.8924,0.8972,38.44,37.92
432,433,0.8924,0.8972,40.6,40.96
433,434,0.8924,0.8972,45.02,44.92
434,435,0.8924,0.8972,64.62,65.66
435,436,0.8924,0.8972,13.84,13.62
436,437,0.8924,0.8972,72.58,72.42
437,438,0.8924,0.8972,51.88,52.34
438,439,0.8924,0.8972,66.3,66.58
439,440,0.8924,0.8972,31.56,31.44
440,441,0.8924,0.8972,71.24,71.76
441,442,0.8924,0.8972,44.4,43.42
442,443,0.8924,0.8972,13.84,13.62
443,444,0.8924,0.8972,87.52,88.08
444,445,0.8924,0.8972,17.32,17.1
445,446,0.8924,0.8972,67.96,68.92
446,447,0.8924,0.8972,32.5,31.68
447,448,0.8924,0.8972,15.36,14.98
448,449,0.8924,0.8972,87.52,88.08
449,450,0.8924,0.8972,36.7,36.84
450,451,0.8924,0.8972,59.38,59.18
451,452,0.8924,0.8972,41.08,41.42
452,453,0.8924,0.8972,45.98,46.6
