,Iteration,Test,Train
172,173,0.7235,0.8592916666666667
173,174,0.724,0.859125
174,175,0.7236666666666667,0.85925
175,176,0.7246666666666667,0.859125
176,177,0.7236666666666667,0.8594166666666667
177,178,0.7246666666666667,0.8589583333333334
178,179,0.7238333333333333,0.8594583333333333
179,180,0.7251666666666666,0.858875
180,181,0.7238333333333333,0.8592916666666667
181,182,0.7248333333333333,0.8587083333333333
182,183,0.723,0.8591666666666666
183,184,0.7238333333333333,0.85875
184,185,0.7231666666666666,0.859125
185,186,0.7235,0.859
186,187,0.7228333333333333,0.8595416666666666
187,188,0.7236666666666667,0.8593333333333333
188,189,0.7225,0.8594166666666667
189,190,0.724,0.8590416666666667
190,191,0.7225,0.8593333333333333
191,192,0.7235,0.8589583333333334
192,193,0.722,0.8592916666666667
193,194,0.7223333333333334,0.8592083333333334
194,195,0.7221666666666666,0.8593333333333333
195,196,0.7225,0.8590833333333333
196,197,0.722,0.8595416666666666
197,198,0.723,0.8592083333333334
198,199,0.7221666666666666,0.859625
199,200,0.723,0.8595416666666666
200,201,0.7218333333333333,0.8595833333333334
201,202,0.7221666666666666,0.8594583333333333
202,203,0.7216666666666667,0.8594583333333333
203,204,0.7218333333333333,0.8592916666666667
204,205,0.721,0.85975
205,206,0.7228333333333333,0.85925
206,207,0.7216666666666667,0.859625
207,208,0.7226666666666667,0.85975
208,209,0.7225,0.8597083333333333
209,210,0.723,0.8590833333333333
210,211,0.7223333333333334,0.8594166666666667
211,212,0.7226666666666667,0.8592916666666667
212,213,0.7218333333333333,0.8597083333333333
213,214,0.7226666666666667,0.8595416666666666
214,215,0.7223333333333334,0.8598333333333333
215,216,0.7226666666666667,0.8590416666666667
216,217,0.7228333333333333,0.8595416666666666
217,218,0.7235,0.8593333333333333
218,219,0.7228333333333333,0.8599583333333334
219,220,0.7231666666666666,0.8595833333333334
220,221,0.7225,0.8599166666666667
221,222,0.7233333333333334,0.8594166666666667
222,223,0.7221666666666666,0.859625
223,224,0.7235,0.8594166666666667
224,225,0.7225,0.8593333333333333
225,226,0.7235,0.859375
226,227,0.7228333333333333,0.8591666666666666
227,228,0.7235,0.859375
228,229,0.7231666666666666,0.8595416666666666
229,230,0.7236666666666667,0.8595833333333334
230,231,0.7225,0.8599583333333334
231,232,0.7233333333333334,0.8597916666666666
232,233,0.723,0.859875
233,234,0.7231666666666666,0.8599583333333334
234,235,0.7226666666666667,0.86
235,236,0.723,0.8599583333333334
236,237,0.7225,0.8600416666666667
237,238,0.7226666666666667,0.859875
238,239,0.7223333333333334,0.8600833333333333
239,240,0.7226666666666667,0.859625
240,241,0.7221666666666666,0.859875
241,242,0.7225,0.8597083333333333
242,243,0.722,0.85975
243,244,0.7223333333333334,0.8597916666666666
244,245,0.7221666666666666,0.8599583333333334
245,246,0.7225,0.8597916666666666
246,247,0.7226666666666667,0.8600416666666667
247,248,0.723,0.8597916666666666
248,249,0.7223333333333334,0.8599583333333334
249,250,0.7225,0.85975
250,251,0.7221666666666666,0.8599583333333334
251,252,0.7223333333333334,0.8596666666666667
252,253,0.7223333333333334,0.8597916666666666
253,254,0.7226666666666667,0.859625
254,255,0.7225,0.8595416666666666
255,256,0.7226666666666667,0.8595416666666666
256,257,0.7225,0.8595
257,258,0.7225,0.8595416666666666
258,259,0.7225,0.859625
259,260,0.7226666666666667,0.8598333333333333
260,261,0.7223333333333334,0.86
261,262,0.7226666666666667,0.8594583333333333
262,263,0.7225,0.8595833333333334
263,264,0.7228333333333333,0.8595416666666666
264,265,0.7226666666666667,0.8597916666666666
265,266,0.7231666666666666,0.8597916666666666
266,267,0.723,0.8599583333333334
267,268,0.7233333333333334,0.8595833333333334
268,269,0.7225,0.8599583333333334
269,270,0.7226666666666667,0.859625
270,271,0.7226666666666667,0.8599583333333334
271,272,0.7228333333333333,0.8595416666666666
272,273,0.7223333333333334,0.8599583333333334
273,274,0.7238333333333333,0.8595833333333334
274,275,0.7228333333333333,0.85975
275,276,0.7235,0.8595416666666666
276,277,0.7231666666666666,0.8600833333333333
277,278,0.7233333333333334,0.859625
278,279,0.723,0.8599583333333334
279,280,0.7231666666666666,0.8599583333333334
280,281,0.7226666666666667,0.8602083333333334
281,282,0.7228333333333333,0.8599583333333334
282,283,0.7225,0.859875
283,284,0.723,0.8596666666666667
284,285,0.722,0.8597083333333333
285,286,0.7228333333333333,0.8595833333333334
286,287,0.7225,0.8597083333333333
287,288,0.7228333333333333,0.8600833333333333
288,289,0.7221666666666666,0.86
289,290,0.7226666666666667,0.8596666666666667
290,291,0.7211666666666666,0.8596666666666667
291,292,0.7226666666666667,0.8594583333333333
292,293,0.7221666666666666,0.859375
293,294,0.7223333333333334,0.859375
294,295,0.7211666666666666,0.8594166666666667
295,296,0.7221666666666666,0.8594583333333333
296,297,0.7221666666666666,0.8595
297,298,0.7223333333333334,0.8592083333333334
298,299,0.7221666666666666,0.859375
299,300,0.7225,0.8590833333333333
300,301,0.7221666666666666,0.8591666666666666
301,302,0.7225,0.8590416666666667
302,303,0.7218333333333333,0.8594166666666667
303,304,0.7225,0.8592916666666667
304,305,0.722,0.8594583333333333
305,306,0.7223333333333334,0.8593333333333333
306,307,0.7215,0.8595
307,308,0.7216666666666667,0.8592083333333334
